generacja 336, waga 969, wartosc 6654, ocena 10012:
generacja 337, waga 992, wartosc 6741, ocena 10119.5:
generacja 338, waga 955, wartosc 6633, ocena 9994.5:
generacja 339, waga 938, wartosc 6624, ocena 9998:
generacja 340, waga 979, wartosc 6653, ocena 10000.5:
generacja 341, waga 982, wartosc 6644, ocena 9984:
generacja 342, waga 948, wartosc 6644, ocena 10018:
generacja 343, waga 935, wartosc 6602, ocena 9968:
generacja 344, waga 998, wartosc 6627, ocena 9942.5:
generacja 345, waga 938, wartosc 6525, ocena 9849.5:
generacja 346, waga 998, wartosc 6762, ocena 10145:
generacja 347, waga 978, wartosc 6686, ocena 10051:
generacja 348, waga 941, wartosc 6542, ocena 9872:
generacja 349, waga 993, wartosc 6646, ocena 9976:
generacja 350, waga 995, wartosc 6583, ocena 9879.5:
generacja 351, waga 984, wartosc 6592, ocena 9904:
generacja 352, waga 995, wartosc 6678, ocena 10022:
generacja 353, waga 997, wartosc 6635, ocena 9955.5:
generacja 354, waga 1000, wartosc 6615, ocena 9922.5:
generacja 355, waga 974, wartosc 6629, ocena 9969.5:
generacja 356, waga 942, wartosc 6585, ocena 9935.5:
generacja 357, waga 996, wartosc 6583, ocena 9878.5:
generacja 358, waga 997, wartosc 6666, ocena 10002:
generacja 359, waga 994, wartosc 6676, ocena 10020:
generacja 360, waga 938, wartosc 6620, ocena 9992:
generacja 361, waga 972, wartosc 6813, ocena 10247.5:
generacja 362, waga 995, wartosc 6602, ocena 9908:
generacja 363, waga 967, wartosc 6612, ocena 9951:
generacja 364, waga 950, wartosc 6615, ocena 9972.5:
generacja 365, waga 987, wartosc 6594, ocena 9904:
generacja 366, waga 913, wartosc 6594, ocena 9978:
generacja 367, waga 997, wartosc 6669, ocena 10006.5:
generacja 368, waga 968, wartosc 6741, ocena 10143.5:
generacja 369, waga 967, wartosc 6675, ocena 10045.5:
generacja 370, waga 940, wartosc 6611, ocena 9976.5:
generacja 371, waga 999, wartosc 6688, ocena 10033:
generacja 372, waga 994, wartosc 6673, ocena 10015.5:
generacja 373, waga 985, wartosc 6682, ocena 10038:
generacja 374, waga 985, wartosc 6682, ocena 10038:
generacja 375, waga 939, wartosc 6659, ocena 10049.5:
generacja 376, waga 965, wartosc 6686, ocena 10064:
generacja 377, waga 981, wartosc 6684, ocena 10045:
generacja 378, waga 944, wartosc 6594, ocena 9947:
generacja 379, waga 961, wartosc 6635, ocena 9991.5:
generacja 380, waga 990, wartosc 6777, ocena 10175.5:
generacja 381, waga 972, wartosc 6597, ocena 9923.5:
generacja 382, waga 989, wartosc 6628, ocena 9953:
generacja 383, waga 977, wartosc 6684, ocena 10049:
generacja 384, waga 960, wartosc 6569, ocena 9893.5:
generacja 385, waga 951, wartosc 6597, ocena 9944.5:
generacja 386, waga 949, wartosc 6575, ocena 9913.5:
generacja 387, waga 994, wartosc 6605, ocena 9913.5:
generacja 388, waga 999, wartosc 6619, ocena 9929.5:
generacja 389, waga 988, wartosc 6644, ocena 9978:
generacja 390, waga 999, wartosc 6626, ocena 9940:
generacja 391, waga 995, wartosc 6656, ocena 9989:
generacja 392, waga 1000, wartosc 6617, ocena 9925.5:
generacja 393, waga 960, wartosc 6619, ocena 9968.5:
generacja 394, waga 1000, wartosc 6702, ocena 10053:
generacja 395, waga 976, wartosc 6682, ocena 10047:
generacja 396, waga 979, wartosc 6597, ocena 9916.5:
generacja 397, waga 988, wartosc 6688, ocena 10044:
generacja 398, waga 990, wartosc 6668, ocena 10012:
generacja 399, waga 989, wartosc 6684, ocena 10037:
generacja 400, waga 986, wartosc 6649, ocena 9987.5:
generacja 401, waga 947, wartosc 6655, ocena 10035.5:
generacja 402, waga 989, wartosc 6700, ocena 10061:
generacja 403, waga 997, wartosc 6790, ocena 10188:
generacja 404, waga 975, wartosc 6614, ocena 9946:
generacja 405, waga 999, wartosc 6774, ocena 10162:
generacja 406, waga 958, wartosc 6739, ocena 10150.5:
